"Project Number","File Number","Condo Name","County","Street City State Zip","Units","Recorded Date","Primary Status","Secondary Status","Managing Entity Number","Managing Entity Name","Managing Entity Route","Managing Entity Street","Managing Entity City","Managing Entity State","Managing Entity Zip"
"PR1S016986","61644","SORRENTO VILLAS SEC II","Sarasota","201 VILLA DR, OSPREY, FL 34229-9685","11","01/01/1968","Approved","Recorded","MA00002240","SORRENTO VILLAS SECTION II CONDO ASSN","","206 TINA ISLAND DR","OSPREY","PA","34229"
"PR1S016987","61645","SUNSET CHATEAU CONDO ASSN","Pinellas","8470 W GULF BLVD, TREASURE ISLAND, FL 33706-3426","75","06/05/1974","Approved","Recorded","MA00008727","SUNSET CHATEAU CONDO ASSN.","C/O CONDOMINIUM ASSOCIATES","570 CARILLON PARKWAY, SUITE 210","ST. PETERSBURG","FL","33716"
"PR1S016988","61646","MARLOU VILLAS CONDO","Lee","4912 VINCENNES ST, CAPE CORAL, FL 33904-9150","16","04/15/1976","Approved","Recorded","MA00013391","MARLOU VILLAS CONDO","C/O GPM INC.","1319 MIRAMAR STREET","CAPE CORAL","FL","33904"
"PR1S016989","61647","IMPERIAL EMBASSY CONDO #3","Pasco","2609 AZALEA DRIVE EAST #3, NEW PORT RICHEY, FL 34652-5012","87","08/16/1971","Approved","Recorded","MA00006828","IMPERIAL EMBASSY #3","C/O SENTRY MANAGEMENT, INC","2180 W STATE RD 434, SUITE 5000","LONGWOOD","FL","32779"
"PR1S016995","61651","GULF HORIZONS","Sarasota","555 THE ESPLANADE N, VENICE, FL 34285-1537","49","03/05/1970","Approved","Recorded","MA00003618","GULF HORIZONS CONDO ASSN INC","C/O SUNSTATE ASSOCIATION MANAGEMENT","PO BOX 18809","SARASOTA","FL","34276"
"PR1S016997","61652","PARC VENDOME APTS #I","Pinellas","6645 1ST AVE N, ST. PETERSBURG, FL 33710-8334","30","05/17/1968","Approved","Recorded","MA00007412","PARC VENDOME APTS ASSN # 1","C/O CONDOMINIUM MANAGEMENT GROUP","7800 66TH STREET N, STE 205","PINELLAS PARK","FL","33781"
"PR1S017001","61656","TOWN APARTMENTS,INC., NO. 17, A CONDOMINIUM","Pinellas","1900 59TH AVENUE NORTH, ST. PETERSBURG, FL 33714-1558","54","07/08/1968","Approved","Recorded","MA00008241","TOWN APARTMENTS,INC., NO. 17, A CONDOMINIUM","C/O ASSOCIA GULF COAST","9887 4TH STREET N","ST. PETERSBURG","FL","33702"
"PR1S018322","62538","BOCA CIEGA POINT EAST 2","Pinellas","275 BOCA CIEGA POINT BLVD, SAINT PETERSBURG, FL 33708-2799","12","01/08/1971","Approved","Recorded","MA00013296","BOCA CIEGA POINT EAST #2 CONDO, INC.","","275 BOCA CIEGA POINT BLVD.","ST. PETERSBURG","FL","33708-2799"
"PR1S018344","62554","PARK PLAZA CONDO PH II","Pinellas","5060-76TH ST AVE, PINELLAS PARK, FL 33565","64","11/01/1972","Approved","Recorded","MA00000996","PARK PLAZA CONDO ASSN PHASE II INC","","1400 22ND AVE NORTH","ST. PETERSBURG","FL","33704"
"PR1S015652","60754","TROPICAL COURT APTS","Sarasota","525 MANATEE CT, VENICE, FL 34285-1715","22","03/20/1972","Approved","Recorded","MA00010757","TROPICAL COURT APARTMENTS ASSN INC","C/O DUKE PROFESSIONAL MGMT INC","3061 QUINCY ROAD","VENICE","FL","34293"
"PR1S015675","60765","HEATHER HILL CONDO #14","Pinellas","866 LAKE HAVEN RD #14, DUNEDIN, FL 34698-6111","10","03/20/1974","Approved","Recorded","MA00010263","HEATHER HILL VILLAS CONDOMINIUM ASSOCIATION, INC.","C/O MELROSE MANAGEMENT","3527 PALM HARBOR BLVD.","PALM HARBOR","FL","34683"
"PR1S015676","60766","WESTCHESTER","Manatee","4825 GULF OF MEXICO DRIVE, LONGBOAT KEY, FL 34228-2117","72","08/20/1970","Approved","Recorded","MA00002132","WESTCHESTER CONDO ASSN, INC","C/O ANTONIA GILIBERTI","4825 GULF OF MEXICO DRIVE","LONGBOAT KEY","FL","34228"
"PR1S015685","60770","FOREST LAKES COUNTRY CLUB ESTATES","Sarasota","2507 BENEVA RD, SARASOTA, FL 34232-3623","36","01/01/1964","Approved","Recorded","MA00011996","FOREST LAKES COUNTRY CLUB ESTATES CONDO","C/O STRINGER MGMT","6524 SUPERIOR AVE","SARASOTA","FL","34231"
"PR1S015711","60785","EDINA HOMES IMPROVEMENT","Collier","411-425 3RD ST S., NAPLES, FL 33940","6","01/01/1973","Approved","Recorded","MA00003913","EDINA HOME IMPROVEMENT INC","","411 3RD ST S","NAPLES","FL","34102"
"PR1S015716","60787","BOCA CIEGA POINT EAST 17","Pinellas","275 BOCA CIEGA POINT BLVD, SAINT PETERSBURG, FL 33708-2799","44","07/03/1973","Approved","Recorded","MA00014296","BOCA CIEGA POINT EAST #17 CONDO, INC.","","275 BOCA CIEGA POINT BLVD.","ST. PETERSBURG","FL","33708-2799"
"PR1S017014","61662","TOWN SHORES OF GULFPORT # 209","Pinellas","5900 SHORE BLVD S #209, GULFPORT, FL 33707-5931","96","12/03/1973","Approved","Recorded","MA00003549","TOWN SHORES OF GULFPORT #209, INC.","","590  SUN BLVD., SUITE 120","ST. PETERSBURG","FL","33715"
"PR1S017018","61663","VILLAGE GREEN CONDO SEC 16","Sarasota","3725 AMESBURY LANE, SARASOTA, FL 34232-4406","26","01/31/1974","Approved","Recorded","MA00008163","VILLAGE GREEN CONDO SECTION 16 ASSN INC","C/O COMMUNITY FINANCIALS INC","185 E INDIANTOWN RD #127","JUPITER","FL","33477"
"PR1S015727","60795","CHESAPEAKE MANOR","Collier","1417 CHESAPEAKE AVE, NAPLES, FL 33962-4502","16","01/28/1970","Approved","Recorded","MA00007016","CHESAPEAKE MANOR, INC. BUILDING #1","","2685 HORSESHOE DR SO","NAPLES","FL","34104"
"PR1S015729","60797","SHORES OF NAPLES CONDO THE","Collier","2401 GULF SHORE BLVD N, NAPLES, FL 33940-4304","33","01/01/1968","Approved","Recorded","MA00009600","SHORES OF NAPLES, INC.","C/O KPG ACCOUNTING SERVICES","3400 TAMIAMI TRAIL N","NAPLES","FL","34103"
"PR1S015730","60798","CYPRESS GARDENS CONDO","Collier","195 CYPRESS WAY E, NAPLES, FL 33942-1266","12","01/01/1996","Approved","Recorded","MA00002751","CYPRESS GARDENS CONDO ASSN INC","C/O BDM PROPERTY MANAGEMENT LLC","PO BOX 10837","POMPANO BEACH","FL","33061"
"PR1S015736","60802","SEASHELLS OF SANIBEL","Lee","2840 GULF DR, SANIBEL, FL 33957-5799","44","05/27/1976","Approved","Recorded","MA00002413","SEASHELLS OF SANIBEL ASSN","C/O ISLAND MANAGEMENT","PO BOX 100","SANIBEL","FL","33957"
"PR1S015745","60810","ROYAL PALM POINT CONDO","Collier","3250 10TH ST N, NAPLES, FL 33940-3858","22","01/01/1974","Approved","Recorded","MA00012681","ROYAL PALM POINT, INC","","1180 ST GEORGES AVE, SUITE 3","AVENEL","NJ","07001"
"PR1S015760","60822","GREENWOOD CONDOS. 2-3","Lee","1715 GOLF CLUB DR #1, NORTH FORT MYERS, FL 33903-4606","16","08/21/1969","Approved","Recorded","MA00000068","GREENWOOD CONDOS 2-3 ASSOC., INC.","","1715 GOLF CLUB DR, UNIT #1","NORTH FORT MYERS","FL","33903"
"PR1S015763","60825","VALENCIA RESIDENCES","Sarasota","627 ALHAMBRA ROAD, VENICE, FL 34285-2504","126","04/14/1978","Approved","Recorded","MA00001802","VALENCIA ON THE GULF, INC.","","627 ALHAMBRA RD.","VENICE","FL","34285"
"PR1S015765","60827","TOWN APARTMENTS, INC. NO. 4, A CONDOMINIUM","Pinellas","5940 21ST STREET NORTH, ST. PETERSBURG, FL 33714-1533","19","07/20/1965","Approved","Recorded","MA00009064","TOWN APARTMENTS, INC. NO. 4, A CONDOMINIUM","C/O UNITED ASSOC OF TOWN APTS NORTH INC","1900 61ST AVE N","ST. PETERSBURG","FL","33714"
"PR1S015779","60837","TIFFANY ARMS GARDEN CONDO","Pinellas","3460-80, 3520-40 32 AVE N., ST. PETERSBURG, FL 33713","32","08/08/1967","Approved","Recorded","MA00014133","TIFFANY ARMS CONDO ASSOC., INC.","C/O MC HOMES","1155 PASADENA AVE S","SOUTH PASADENA","FL","33707"
"PR1S015786","60843","CAMBRIDGE E","Hillsborough","1905 CANTERBURY LN, SUN CITY CENTER, FL 33570-5638","24","12/31/1976","Approved","Recorded","MA00009517","CAMBRIDGE E CONDO ASSN.","C/O FIRST SERVICE RESIDENTIAL","1904 CLUBHOUSE DR","SUN CITY CENTER","FL","33573"
"PR1S018371","62571","ORLEANS APT","Sarasota","950 TARPON CENTER DR, VENICE, FL 34285-1225","33","12/09/1969","Approved","Recorded","MA00003993","ORLEANS APTS. CONDO, INC.","C/O ARGUS MANAGEMENT OF VENICE","1062 E VENICE AVENUE","VENICE","FL","34285"
"PR1S018373","62573","SUNSET PLAZA APTS","Pinellas","7050 SUNSET WAY, ST PETERSBURG, FL 33706-3636","38","09/04/1969","Approved","Recorded","MA00007131","SUNSET PLAZA APTS INC #1","C/O HOLIDAY ISLES PROPERTY MGMT INC","11350 66TH STREET N, SUITE 124","LARGO","FL","33773"
"PR1S018378","62577","LA HACIENDA CONDO","Pinellas","823-835 EAST GULF BLVD, INDIAN ROCKS BEACH, FL 33535","13","01/01/1974","Approved","Recorded","MA00011032","LA HACIENDA CONDO ASSN INC","","14512 N NEBRASKA AVE","TAMPA","FL","33613"
"PR1S018388","62582","CAMBRIDGE L","Hillsborough","1906 CANTERBURY LN, SUN CITY CENTER, FL 33570-5633","32","12/31/1976","Approved","Recorded","MA00007944","CAMBRIDGE L CONDO ASSN.","C/O STERLING MANAGEMENT","1904 CLUBHOUSE DRIVE","SUN CITY CENTER","FL","33573-5912"
"PR1S018389","62583","IMPERIAL COVE CONDO VII","Pinellas","1425 U.S. 19 SOUTH, CLEARWATER, FL 34624-3079","33","06/18/1971","Approved","Recorded","MA00001720","IMPERIAL COVE CONDO VII ASSN INC","","28100 US HWY 19 N SUITE 205","CLEARWATER","FL","33761"
"PR1S018391","62585","LAKE LAWN CONDO","Lee","1830 BRANTLEY RD, FORT MYERS, FL 33907-3938","80","11/20/1970","Approved","Recorded","MA00009759","LAKE LAWN CONDO ASSN INC","C/O NEXT GENERATION MANAGEMENT","9410 CORKSCREW PALMS CIR","ESTERO","FL","33928"
"PR1S017046","61680","SAN CRISTOBEL","Sarasota","616 FLAMINGO DR, VENICE, FL 34285-3012","12","11/06/1972","Approved","Recorded","MA00010093","SAN CRISTOBAL ASSN INC","","1450 BRENNER PARK DR.","VENICE","FL","34292"
"PR1S017048","61682","IMPERIAL COURT CONDO APTS. I","Pinellas","1433 BELCHER ROAD SOUTH, CLEARWATER, FL 34624-2855","42","11/13/1967","Approved","Recorded","MA00015708","IMPERIAL COURT CONDO APTS. I","C/O QUALIFIED PROPERTY MANAGEMENT INC","5901 US HWY 19, SUITE 7Q","NEW PORT RICHEY","FL","34652"
"PR1S017049","61683","ENGLEWOOD ISLES CONDO I","Sarasota","18A NORTH OAKWOOD DRIVE, ENGLEWOOD, FL 34223-2008","55","07/02/1974","Approved","Recorded","MA00006184","ENGLEWOOD ISLES I ASSOC., INC.","","PO BOX 3085","PLACIDA","FL","33946"
"PR1S017052","61685","FAIRWAYS CONDO OF LEHIGH ACRES","Lee","345 JOEL BLVD, LEHIGH ACRES, FL 33936-5279","28","01/01/1971","Approved","Recorded","MA00006884","FAIRWAYS CONDO OF LEHIGH ACRES FLA INC","","PO BOX 1058","LEHIGH ACRES","FL","33970"
